t,VarX_0.003,meanX_0.003,VarX_0.01,meanX_0.01,VarX_0.03,meanX_0.03,VarX_0.1,meanX_0.1,VarA1,meanA1
13,1.51396733975836e-09,1.59303701834363e-08,1.68519029813114e-08,5.2986728922817e-08,1.52586408803361e-07,1.5741005841299e-07,1.73841923687476e-06,4.91677097447449e-07,0.00016810049184051,5.3163854683092e-06
14,1.67760151729072e-09,1.52252881040005e-08,1.86761114919795e-08,5.05938911632804e-08,1.69033633268615e-07,1.50768825909875e-07,1.92260292250588e-06,4.76732665998699e-07,0.00018627454676774,5.07884826675844e-06
15,1.84430159474208e-09,1.45265030239203e-08,2.05342453114918e-08,4.83142077017308e-08,1.85929392188432e-07,1.44027087332465e-07,2.11703972323627e-06,4.52818195742597e-07,0.000204773228264207,4.84199558210617e-06
16,2.00055230143122e-09,1.20448787513591e-08,2.22833933151942e-08,3.99029812660978e-08,2.01912609003247e-07,1.1888505032507e-07,2.3024737868267e-06,3.76823948791848e-07,0.00022208062479412,4.01924122440338e-06
17,2.15499009589733e-09,1.4888772061014e-08,2.40059855458266e-08,4.94222499797704e-08,2.17586754659128e-07,1.47589669137181e-07,2.48496751286941e-06,4.7903762988114e-07,0.000239215287738117,4.96613898504021e-06
18,2.3184849995354e-09,1.7716401888295e-08,2.58239791790076e-08,5.88948353351386e-08,2.33948923620474e-07,1.76120133122604e-07,2.66662292898153e-06,5.79345479597272e-07,0.000257384351993189,5.90320160521369e-06
19,2.48154291056967e-09,1.79106441353417e-08,2.76390456509075e-08,5.96335560809013e-08,2.5037638548927e-07,1.79456013769821e-07,2.85265059730823e-06,5.91605404959147e-07,0.0002754955583296,5.96187304444352e-06
20,2.64103377242927e-09,1.41666457363149e-08,2.94133041095017e-08,4.72040806084719e-08,2.66370080798072e-07,1.42472425785033e-07,3.03280850968702e-06,4.71103705969443e-07,0.000293202964070128,4.70758330834611e-06
21,2.78313677476012e-09,1.15271823305265e-08,3.09955084315028e-08,3.83552662122669e-08,2.80733206322862e-07,1.15626276920298e-07,3.20398919424918e-06,3.85462630232103e-07,0.000308941891349572,3.8388711239758e-06
22,2.96014568997043e-09,9.95844632934372e-09,3.2967831388418e-08,3.31026735999237e-08,2.98636658154815e-07,1.00294474852456e-07,3.40997364640382e-06,3.3507784446006e-07,0.000328537907879085,3.32506884245269e-06
23,3.1266930715018e-09,9.74909002047746e-09,3.48375480271142e-08,3.24657870580004e-08,3.1576260035567e-07,9.88869898667138e-08,3.61217904912631e-06,3.20919932724774e-07,0.000346937880298023,3.25633874974335e-06
24,3.30599266896961e-09,7.81633314233365e-09,3.68448465629323e-08,2.58701237265354e-08,3.34104656566695e-07,7.88631828968597e-08,3.82208616816725e-06,2.66311096030457e-07,0.000366757656978247,2.62087040816039e-06
25,3.47908173379701e-09,4.52526310099389e-09,3.87822225679818e-08,1.4744653501032e-08,3.51902449398076e-07,4.45282547943007e-08,4.02768481714989e-06,1.40728336388568e-07,0.000385937217690478,1.52801796634178e-06
26,3.65668030218513e-09,3.91255246587787e-09,4.07564581778976e-08,1.26280233991233e-08,3.69879166546576e-07,3.71752434856308e-08,4.23622338521497e-06,1.06433245553e-07,0.00040567359280234,1.3268404178832e-06
27,3.84276300718405e-09,1.66721927409524e-09,4.28251398189246e-08,5.11308663894881e-09,3.88662786524121e-07,1.51863373394929e-08,4.45228433045841e-06,3.44698411111425e-08,0.000426347766556334,5.80238930244797e-07
28,4.0320357024915e-09,-2.04006922371914e-09,4.49409538531121e-08,-7.54969796566505e-09,4.07978568320576e-07,-2.378442089215e-08,4.66855242854089e-06,-9.90813654142719e-08,0.000447340597123964,-6.42833146099964e-07
29,4.23273048716528e-09,-6.91073449671211e-09,4.71614372504483e-08,-2.3734678374656e-08,4.27731791550639e-07,-7.21468157841078e-08,4.88188267914474e-06,-2.49853678099894e-07,0.000469681504525876,-2.26982297099409e-06
30,4.40714513445091e-09,-8.83469961647541e-09,4.91008013792408e-08,-3.00791598026164e-08,4.45375947136085e-07,-9.11951012364818e-08,5.09308657066591e-06,-3.13425592061897e-07,0.000489048360855027,-2.91683355119537e-06
31,4.60120582653019e-09,-8.87785460528088e-09,5.12665011717784e-08,-3.03525426791778e-08,4.65226645438266e-07,-9.2253215848211e-08,5.31637088574358e-06,-3.08860413305417e-07,0.000510581807442832,-2.93014222735125e-06
32,4.78599230429445e-09,-6.39225089439277e-09,5.33308586166111e-08,-2.21932419006742e-08,4.84027109008082e-07,-6.85764403376005e-08,5.53076138142793e-06,-2.3562735659702e-07,0.000531071000520218,-2.0993389545451e-06
33,5.00634774022084e-09,-5.98245309941908e-09,5.57781677383368e-08,-2.09355844055121e-08,5.06062818092775e-07,-6.68084523232428e-08,5.77714856551662e-06,-2.45069818099457e-07,0.000555559689040252,-1.95568071256588e-06
34,5.19539151280093e-09,-4.77499115069372e-09,5.78859242016656e-08,-1.69975979958764e-08,5.25274360475617e-07,-5.72330061681164e-08,6.00435188346454e-06,-2.14998179879271e-07,0.000576493399662123,-1.55268262066351e-06
35,5.39770023999605e-09,-2.26713906343507e-09,6.01373530184805e-08,-8.83339691665921e-09,5.45710594918007e-07,-3.36310028439718e-08,6.24219550493978e-06,-1.37672846241126e-07,0.000598938489055924,-7.11729784939428e-07
