t,VarX_0.1,meanX_0.1,VarX_0.3,meanX_0.3,VarX_1,meanX_1,VarX_3,meanX_3,VarA1,meanA1
11,5.43878991169811e-06,1.58834921106541e-07,5.10872689875728e-05,4.08415142584616e-07,0.000648646240594025,1.32842055021975e-06,0.00729140952043692,1.29484034714575e-05,0.000531826095117568,1.67927662846629e-06
12,6.01245626691769e-06,5.95098444856903e-08,5.64792141681976e-05,6.31968907059118e-08,0.000718024160688148,2.59485982800181e-07,0.0082097286990151,1.43400930669152e-05,0.000587835613740135,7.80255790834522e-07
13,6.5995904098996e-06,3.89459450800304e-09,6.20073039459099e-05,-1.50778712648769e-07,0.000789732184112642,-6.86097136557248e-07,0.00914871614549796,1.47624100101285e-05,0.00064516255655893,3.2338349311801e-07
14,7.19274038332706e-06,1.7580535538122e-08,6.76255605801219e-05,-1.42294782043426e-07,0.000864680348031398,-1.00854927298641e-06,0.0100873899653386,1.80575701031135e-05,0.00070302359032015,5.27466378344565e-07
15,7.79603184058588e-06,-3.05514331733719e-08,7.33590993250058e-05,-2.94472509253504e-07,0.0009403078856936,-1.06305282146371e-06,0.0110387631963482,1.48124079653691e-05,0.000761776063905557,8.09122471158856e-08
16,8.39512819480441e-06,-1.96299236327661e-08,7.90835665615601e-05,-2.66542367660572e-07,0.0010177212839475,-4.55273267686626e-07,0.0120151263413947,6.6045479469861e-06,0.000820002767667447,2.43625179927747e-07
17,8.99074846830628e-06,1.5037039882624e-08,8.47968508547638e-05,-7.93859357359995e-08,0.00109495223316405,2.45831565693029e-07,0.0130088517551251,6.37223235772851e-06,0.000877888803433785,4.69005528423626e-07
18,9.58665859954218e-06,-1.99949920254726e-07,9.04718941420042e-05,-7.08495861736281e-07,0.00116982476618113,-1.24772461837052e-06,0.0139708079142331,3.32084948212697e-06,0.000935833962090039,-1.66873621446761e-06
19,1.01726957559421e-05,-2.88129913345159e-07,9.599890672287e-05,-8.44029851644602e-07,0.00124291295059771,-1.86920684650518e-06,0.0149826575767334,3.76949748004524e-06,0.000993168130312302,-2.77573296825362e-06
20,1.07656741485732e-05,-4.05953795718707e-07,0.000101591232927202,-1.12238469771235e-06,0.0013182217140653,-3.32700425166176e-06,0.0160493742323505,1.81882065597816e-06,0.00105105890659405,-4.08738317490564e-06
21,1.13608979776612e-05,-4.11481300009033e-07,0.000107207207836477,-1.20359594758228e-06,0.0013936810750785,-5.76162999069139e-06,0.0170998188136134,1.76538531518278e-06,0.00110938132439596,-4.09050459332705e-06
22,1.19757160080963e-05,-6.6686282103596e-07,0.000112902192459033,-2.04701953896216e-06,0.00146789161608484,-9.51385576645654e-06,0.0181734046587465,-6.48953127837029e-06,0.00116988846663352,-6.4589685794205e-06
23,1.25604636403888e-05,-6.25963907970537e-07,0.000118499686630377,-1.99161266384721e-06,0.00154524849732452,-1.08376615998212e-05,0.0192787639020919,-6.91979218470287e-06,0.00122664289346312,-6.04167097631976e-06
24,1.31545734765693e-05,-5.02042072113463e-07,0.000124114718070402,-1.82498379977164e-06,0.00162163530015884,-1.17846936787866e-05,0.0204075029765362,-2.83794694092018e-06,0.00128454145239437,-4.53801619010293e-06
